time,train_id,phase,speed_limit,current_speed,dist_to_next_station,delay,current_gradient,next_limit_info,next_gradient_info,w_surv,w_conf,w_comp,reason
0.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,80.0,1.6,1099.9,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.5,0.8,現在は駅出発直後の加速フェーズで速度は制限の1/50程度、勾配も平坦、遅延なし。安全リスクは低く、乗り心地は加速の滑らかさを保ちつつ、エネルギー効率的に加速したい。したがってSurvivalを低め(0.2)、Confidenceを中程度(0.5)、Competenceを高め(0.8)に設定する。
30.0,T1,巡航フェーズ（駅間走行中）,惰行中,80.0,72.72,705.2,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.3,0.8,0.6,現在は制限速度80km/hを下回る72.7km/hで平坦区間を惰行中、遅延0秒で安全リスクは極めて低い。乗客快適性とエネルギー回収を最大化するため、ConfidenceとCompetenceを高め、Survivalは低めに設定すべき。
60.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,80.0,75.53,102.6,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.5,0.6,0.8,速度は制限内で遅延なし、減速フェーズで正確な停止が必要。乗り心地と回生ブレーキ活用を重視し、安全は適度に確保。したがってSurvivalは中程度、Confidenceは高め、Competenceは高く設定する。
120.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,90.0,40.0,1330.6,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.3,0.6,0.5,現在は加速フェーズで速度は制限の半分以下、勾配平坦・遅延なし。安全リスクは低く快適性を重視しつつ、エネルギー効率も適度に考慮する。
150.0,T1,巡航フェーズ（駅間走行中）,力行（加速）中,90.0,89.24,719.8,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.4,0.6,0.5,速度は制限限界付近(89.2km/h)で超過しておらず、遅延0秒、勾配平坦のため安全リスクは低い。一方、加速中で乗客の快適性とエネルギー消費抑制が重要となる。
180.0,T1,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,90.0,63.64,47.1,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.6,0.3,0.8,速度は制限以下で遅延なしだが駅停車の正確な停止が必要。安全は重要だが過度ではなく、回生ブレーキでエネルギー回収を重視し、急ブレーキは不可避だが乗り心地はやや抑える。
240.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,100.0,51.2,1786.2,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.4,0.6,0.5,現在は駅出発直後の加速段階で速度は制限の半分以下、勾配も平坦のため安全リスクは低い。乗客の快適性確保とエネルギー効率をバランスさせるため、Survivalをやや低め、ConfidenceとCompetenceを高めに設定する。
270.0,T1,巡航フェーズ（駅間走行中）,惰行中,100.0,97.96,1086.4,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.3,0.8,0.5,現在は惰行で速度は制限下限内、遅延なし。安全リスクは低く快適性を最優先しつつ、余裕があるため省エネ効果を適度に促す。Survivalは低め、Confidenceは高め、Competenceは中程度に設定する。
300.0,T1,次駅への減速フェーズ（駅手前400m以内）,惰行中,100.0,92.19,317.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.5,0.6,0.7,現在は制限速度以下で減速フェーズ、遅延なし。安全リスクは低いが停止位置精度は必要。乗客快適性と回生ブレーキ活用が重要なのでConfidenceとCompetenceを高め、Survivalは中程度に設定する。
360.0,T1,駅出発直後の加速フェーズ（駅発車20秒以内）,力行（加速）中,100.0,14.4,2091.0,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.5,0.7,現在は駅出発直後の加速段階で速度は制限の約15%に留まり、勾配・遅延なし。安全リスク低くSurvivalを低めに、乗り心地とエネルギー効率を重視しConfidenceとCompetenceを高める。
390.0,T1,巡航フェーズ（駅間走行中）,惰行中,100.0,94.06,1578.2,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.4,0.8,0.6,制限速度から5.9km/h下回り平坦で安全リスク低く、惰行により乗り心地良好。快適性を最優先しつつ、エネルギー効率も維持するため、Confidenceを高く、Survivalは中程度、Competenceはやや高めに設定する。
420.0,T1,巡航フェーズ（駅間走行中）,惰行中,100.0,88.58,811.9,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.2,0.7,0.6,現在は制限速度以下で遅延なし、平坦区間の惰行中のため安全リスクは低く、乗り心地とエネルギー回収を最大化すべきです。Survivalは低め、ConfidenceとCompetenceを高く設定します。
450.0,T1,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,100.0,70.57,64.5,0.0,0.0,この先制限速度なし,この先目立った勾配なし,0.5,0.7,0.4,現在は駅手前の減速フェーズで速度は制限以下、遅延なし。安全リスクは低いが正確停止と乗り心地が重要。回生ブレーキでエネルギー回収の余地はあるが距離が短いため適度に設定。
